"备注：","","","","","","币种：人民币",""
"物料编码
物料描述","单位","订货","含税","税率","含税
交货","最后交期","备注"
"","","数量","单价","%","金额
地点","",""
"1010500051 江西脐橙 70-80MM","KG","15","7.00","1","104.99 长隆酒店雪虎园","2020.12.06",""
"","","","","","吧","",""
"1010500074 新奇士橙 75-85MM","KG","10","21.00","1","209.98 长隆酒店雪虎园","2020.12.06",""
"","","","","","吧","",""
"1010500066 砂糖桔 35-80G/个","KG","5","7.27","1","36.36 长隆酒店雪虎园","2020.12.06",""
"","","","","","吧","",""
"1010500050 皇帝柑 40-65MM","KG","5","5.50","1","27.52 长隆酒店雪虎园","2020.12.06",""
"","","","","","吧","",""
